frequency_response_data
f_Hz,Ur_mV,Experiment
269.0,48.75,"R=10, C=1uF"
319.0,70.52,"R=10, C=1uF"
369.0,107.77,"R=10, C=1uF"
389.0,131.74,"R=10, C=1uF"
409.0,162.13,"R=10, C=1uF"
419.0,180.52,"R=10, C=1uF"
429.0,200.4,"R=10, C=1uF"
439.0,219.23,"R=10, C=1uF"
449.0,236.02,"R=10, C=1uF"
454.0,244.55,"R=10, C=1uF"
459.0,249.72,"R=10, C=1uF"
464.0,253.33,"R=10, C=1uF"
469.0,256.55,"R=10, C=1uF"
474.0,257.2,"R=10, C=1uF"
479.0,256.99,"R=10, C=1uF"
484.0,255.0,"R=10, C=1uF"
489.0,251.11,"R=10, C=1uF"
494.0,246.82,"R=10, C=1uF"
499.0,242.14,"R=10, C=1uF"
509.0,230.15,"R=10, C=1uF"
519.0,217.38,"R=10, C=1uF"
529.0,204.89,"R=10, C=1uF"
539.0,192.57,"R=10, C=1uF"
559.0,169.46,"R=10, C=1uF"
579.0,150.89,"R=10, C=1uF"
629.0,115.47,"R=10, C=1uF"
679.0,92.9,"R=10, C=1uF"
272.0,147.02,"R=30, C=1uF"
322.0,209.93,"R=30, C=1uF"
372.0,310.82,"R=30, C=1uF"
392.0,370.23,"R=30, C=1uF"
412.0,441.18,"R=30, C=1uF"
422.0,478.96,"R=30, C=1uF"
432.0,517.3,"R=30, C=1uF"
442.0,550.82,"R=30, C=1uF"
452.0,582.8,"R=30, C=1uF"
457.0,594.8,"R=30, C=1uF"
462.0,602.56,"R=30, C=1uF"
467.0,609.0,"R=30, C=1uF"
472.0,613.02,"R=30, C=1uF"
477.0,614.9,"R=30, C=1uF"
482.0,616.35,"R=30, C=1uF"
487.0,611.95,"R=30, C=1uF"
492.0,608.53,"R=30, C=1uF"
497.0,602.21,"R=30, C=1uF"
502.0,592.23,"R=30, C=1uF"
512.0,573.84,"R=30, C=1uF"
522.0,549.18,"R=30, C=1uF"
532.0,524.11,"R=30, C=1uF"
542.0,500.43,"R=30, C=1uF"
562.0,451.9,"R=30, C=1uF"
582.0,408.54,"R=30, C=1uF"
632.0,322.81,"R=30, C=1uF"
682.0,264.18,"R=30, C=1uF"
